timestamp,ovms_pid,proc_cpu_pct,proc_ws_bytes,sys_mem_used_bytes,sys_mem_free_bytes,gpu_notes,_GPU_Local_Adapter_Memory(_)_Local_Usage,_GPU_Engine(_)_Utilization_Percentage,_GPU_Adapter_Memory(_)_Shared_Usage,_GPU_Adapter_Memory(_)_Dedicated_Usage,_GPU_Adapter_Memory(_)_Total_Committed,_GPU_Process_Memory(_)_Shared_Usage,_GPU_Process_Memory(_)_Dedicated_Usage,_GPU_Process_Memory(_)_Non_Local_Usage,_GPU_Process_Memory(_)_Local_Usage,_GPU_Process_Memory(_)_Total_Committed,_GPU_Non_Local_Adapter_Memory(_)_Non_Local_Usage
2026-09-05T23:35:51.5386872+02:00,28520,93.2380021587457,1980788736,20910587904,12956045312,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:04.0706275+02:00,28520,34.2343004485864,8484233216,27187396608,6679236608,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:17.8412617+02:00,28520,158.643494845268,17762512896,32746766336,1119866880,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:28.6766200+02:00,28520,0,16946155520,32071991296,1794641920,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:36.3229192+02:00,28520,0,16398557184,31490035712,2376597504,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:43.6769166+02:00,28520,0,16357998592,31463305216,2403328000,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:50.7342268+02:00,28520,0,16357974016,31502962688,2363670528,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:36:57.8341569+02:00,28520,0,16357974016,31505125376,2361507840,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:04.9267583+02:00,28520,0,16357974016,31543300096,2323333120,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:11.9432265+02:00,28520,0,16357974016,31540891648,2325741568,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:19.1776911+02:00,28520,0,16357928960,31561179136,2305454080,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:27.1445684+02:00,28520,102.438945891575,16515698688,32006574080,1860059136,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:35.5366547+02:00,28520,96.1082960681166,16585334784,32257073152,1609560064,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:43.9937352+02:00,28520,110.044030507503,16596406272,32479739904,1386893312,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:37:54.2812856+02:00,28520,103.949789136456,16900014080,32248410112,1618223104,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:38:03.7060894+02:00,28520,83.6302061104218,16894423040,32377450496,1489182720,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:38:13.0673083+02:00,28520,100.885858546727,16836100096,32134340608,1732292608,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:38:22.6160473+02:00,28520,102.021777308893,17489899520,32731926528,1134706688,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:38:32.6920160+02:00,28520,97.3813505624747,17352089600,32480972800,1385660416,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:38:43.9343415+02:00,28520,100.866290602375,17295187968,32598511616,1268121600,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:38:53.7409394+02:00,28520,97.8256008665795,17295224832,32635944960,1230688256,"",8192,0,368640,0,5615616,0,0,0,360448,28606464,
2026-09-05T23:39:07.0241276+02:00,28520,8.93652919504511,17295261696,33120366592,746266624,"",8192,0,368640,0,5615616,0,0,0,360448,28606464,
2026-09-05T23:39:25.2415107+02:00,28520,75.7253561873489,17295368192,32966021120,900612096,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:39:39.6911853+02:00,28520,93.1483455214425,17295503360,32571305984,1295327232,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:39:50.3432923+02:00,28520,86.85988606961,17297145856,32670334976,1196298240,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:00.9356786+02:00,28520,94.5585750254645,17299468288,32450146304,1416486912,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:10.1705753+02:00,28520,0,17218437120,32724570112,1142063104,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:17.9421980+02:00,28520,0,17218437120,32688873472,1177759744,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
